index,Idea,Score
10,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which is designed to measure the performance of 120 stocks in the S&P SmallCap 600® Index that have relatively high “value” and “momentum” scores.",2.367640869901091
11,"In seeking to track the performance of the S&P Software & Services Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the software and services segment of the S&P Total Market Index (""S&P TMI"").",2.3071749646722375
12,"In seeking to track the performance of the S&P Telecom Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the telecommunications segment of the S&P Total Market Index (""S&P TMI"").",2.1252961304882265
13,"XTL Biopharmaceuticals Ltd., a biopharmaceutical company, engages in the acquisition and development of pharmaceutical products for the treatment of autoimmune diseases. Its lead drug candidate is hCDR1, a Phase II-ready asset for the treatment of systemic lupus erythematosus and Sjogren's syndrome. It has a licensing agreement with Yeda Research and Development Company Limited for the research, development, and commercialization of hCDR1 for various indications. The company was formerly known as Xenograft Technologies Ltd. and changed its name to XTL Biopharmaceuticals Ltd. in July 1995. XTL Biopharmaceuticals Ltd. was incorporated in 1993 and is headquartered in Ramat Gan, Israel.",1.5652917961736281
14,"In seeking to track the performance of the S&P Transportation Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the transportation segment of the S&P Total Market Index (""S&P TMI"").",2.1210303326194726
15,"Xtant Medical Holdings, Inc. develops, manufactures, and markets regenerative medicine products and medical devices for orthopedic and neurological surgeons in the United States and internationally. Its biomaterial products include OsteoSponge that provides a natural scaffold for cellular in-growth and exposes bone-forming proteins to the healing environment; OsteoSponge SC that fills bony defects in the subchondral region of joints; OsteoSelect DBM Putty for osteoinductive bone growth; OsteoSelect PLUS DBM Putty for use as a bone void filler and bone graft substitute in the pelvis, extremities, and posterolateral spine; OsteoFactor, which contains various proteins and peptides that support bone formation and remodeling; OsteoWrap; and OsteoVive Plus, a growth factor enriched cellular bone matrix. The company also provides 3Demin, a family of allografts that maximizes osteoconductivity and the osteoinductive potential of human bone. In addition, it processes and distributes sports allografts for anterior and posterior cruciate ligament repairs, anterior cruciate ligament reconstruction, and meniscal repair; milled spinal allografts for cortical bone milled to desired shapes and dimensions; and traditional allografts for orthopedics, neurology, podiatry, oral/maxillofacial, genitourinary, and plastic/reconstructive applications. Further, the company offers Certex spinal fixation, Spider cervical plating, Axle interspinous fusion, Silex Sacroiliac joint fusion, Xpress minimally invasive pedicle screw, and Fortex Pedicle screw systems. Additionally, it provides Calix for cervical and thoracolumbar applications, Axle-X interspinous fusion system, Irix-C cervical integrated fusion system, and Irix-A Lumbar integrated fusion system. The company was formerly known as Bacterin International Holdings, Inc. and changed its name to Xtant Medical Holdings, Inc. in July 2015. Xtant Medical Holdings, Inc. is headquartered in Belgrade, Montana.",4.720422689576613
16,"XWELL, Inc., a health and wellness services company, provides spa services at airports. It operates through XpresSpa, XpresTest, Treat, and HyperPointe segments. The company offers spa services, including massage, and nail and skin care, as well as spa and travel products; and retail products. It also provides diagnostic COVID-19 tests at XpresCheck wellness centers in airports; and other medical diagnostic testing services. In addition, the company offers marketing support to health and health-related channels. It operates stores, as well as offers its services through an integrated digital platform. The company was formerly known as XpresSpa Group, Inc. and changed its name to XWELL, Inc. in October 2022. XWELL, Inc. was founded in 2006 and is headquartered in New York, New York.",6.886264425273735
17,"22nd Century Group, Inc., an agricultural biotechnology company, focuses on tobacco harm reduction, reduced nicotine tobacco, and enhancing health and wellness through plant science for the life science and consumer products industries. It develops very low nicotine content tobacco and cigarette products under the VLN King and VLN Menthol King names; and SPECTRUM research cigarettes for use in independent clinical studies. The company has collaboration with Keygene N.V. to develop hemp/cannabis plants for exceptional cannabinoid profiles and other superior agronomic traits for medical, therapeutic, and agricultural uses, as well as other applications. 22nd Century Group, Inc. was founded in 1998 and is headquartered in Buffalo, New York.",2.6354492866131536
18,"X Financial provides personal finance services in the People's Republic of China. The company offers services as an online marketplace connecting borrowers and investors. Its loan products include Xiaoying credit loan, which consists of Xiaoying card loan; and Xiaoying preferred loan to small business owners, as well as Xiaoying revolving loan. The company also offers Xiaoying housing loan, a home equity loan product for property owners; investment products through Xiaoying wealth management platform, such as loans, money market, and insurance products; and loan facilitation services to other platforms. The company was incorporated in 2014 and is headquartered in Shenzhen, the People's Republic of China.",3.6074160081757727
19,"Xylem Inc., together with its subsidiaries, engages in the design, manufacture, and servicing of engineered products and solutions for the water and wastewater applications in the United States, Europe, the Asia Pacific, and internationally. It operates through three segments: Water Infrastructure, Applied Water, and Measurement & Control Solutions. The Water Infrastructure segment offers various products, including water, storm water, and wastewater pumps; controls and systems; filtration, disinfection, and biological treatment equipment; and mobile dewatering equipment and rental services under the Flygt, Godwin, Sanitaire, Leopold, Wedeco, and Xylem Vue brand names for the transportation and treatment of water. The Applied Water segment provides pumps, valves, heat exchangers, controls, and dispensing equipment systems under the Goulds Water Technology, Bell & Gossett, A-C Fire Pump, Standard Xchange, Lowara, Jabsco, Xylem Vue, and Flojet brand names for residential and commercial building services, and industrial water applications. The Measurement & Control Solutions segment offers smart meters, networked communication devices, data analytics, test equipment, controls, sensor devices, software and managed services, and critical infrastructure services; and software and services, including cloud-based analytics, remote monitoring and data management, leak detection, condition assessment, asset management, and pressure monitoring solutions, as well as testing equipment. This segment sells its products under the Pure Technologies, Sensus, Smith Blair, WTW, Xylem Vue, and YSI brand names. The company markets and sells its products through a network of direct sales force, resellers, distributors, and value-added solution providers. Xylem Inc. was formerly known as ITT WCO, Inc. and changed its name to Xylem Inc. in May 2011. Xylem Inc. was incorporated in 2011 and is headquartered in Washington, District of Columbia.",2.9641382742541826
20,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index measures the performance of a hypothetical portfolio that employs a covered call strategy. A covered call strategy is generally considered to be an investment strategy in which an investor buys a security, and sells (or ""writes"") a call option on that security in an attempt to generate more income.",2.905421564881045
21,"Yalla Group Limited operates a social networking and entertainment platform primarily in the Middle East and North Africa region. It provides mobile applications, including Yalla, a voice-centric group chat platform; and Yalla Ludo, a casual gaming application. The company's platform offers group chatting and games services; and sells virtual items, as well as provides upgrade services. The company was formerly known as FYXTech Corporation. Yalla Group Limited was founded in 2016 and is headquartered in Dubai, the United Arab Emirates.",4.26568187375782
22,"The fund, under normal circumstances, invests at least 80% of the fund’s net assets (plus borrowing for investment purposes) in swap agreements, futures contracts, short positions or other financial instruments that provide inverse (opposite) or short daily exposure to the index or to ETFs that track the index. The index consists of the 50 largest and most liquid public Chinese companies currently trading on the Hong Kong Stock Exchange (""SEHK""). The fund is non-diversified.",5.825758458639609
23,"cbdMD, Inc. produces and distributes various cannabidiol (CBD) products. The company owns and operates consumer hemp-based CBD brands, such as cbdMD, Paw CBD, and cbdMD Botanicals. Its cbdMD brand products include CDB tinctures, gummies, topicals, capsules, bath bombs, bath salts, and sleep aids. The company also offers veterinarian-formulated products, including tinctures, chews, and topicals under the Paw CBD brand name. It distributes its products through its e-commerce website, third-party e-commerce sites, wholesalers, and various brick and mortar retailers in the United States. The company was formerly known as Level Brands, Inc. and changed its name to cbdMD, Inc. in May 2019. cbdMD, Inc. was incorporated in 2015 and is headquartered in Charlotte, North Carolina.",8.206933862097735
24,"The fund seeks to meet its investment objective by investing under normal market conditions in any one of, or combinations of, Financial Instruments based on the fund’s benchmark. It will also hold cash or cash equivalents such as U.S. Treasury securities or other high credit quality, short-term fixed-income or similar securities as collateral for Financial Instruments and pending investment in Financial Instruments.",3.1471064129567434
25,"The fund seeks to meet its investment objective by investing under normal market conditions in any one of, or combinations of, Financial Instruments based on the fund’s benchmark. It will also hold cash or cash equivalents such as U.S. Treasury securities or other high credit quality, short-term fixed-income or similar securities as collateral for Financial Instruments and pending investment in Financial Instruments.",2.066551612270356
26,"YETI Holdings, Inc. designs, markets, retails, and distributes products for the outdoor and recreation market under the YETI brand. It offers coolers and equipment, including hard and soft coolers, cargo, bags, outdoor living, and associated accessories. The company also provides drinkware products, such as colsters, lowballs, wine tumblers, stackable pints, mugs, tumblers, straw mugs and cups, bottles, jugs, and water bottles, as well as accessories comprising bottle straw and chug caps, lids, straw lids, color packs, tumbler handles, and jug mounts under the Rambler brand. In addition, it offers YETI-branded gear products, such as hats, shirts, bottle openers, and ice substitutes. The company sells its products through independent retailers, including outdoor specialty, hardware, sporting goods, and farm and ranch supply stores, as well as through Website. It operates in the United States, Canada, Australia, New Zealand, Europe, Hong Kong, China, Singapore, and Japan. YETI Holdings, Inc. was founded in 2006 and is headquartered in Austin, Texas.",2.5913710985446214
27,"Yext, Inc. organizes business facts to provide answers to consumer questions in North America and internationally. It operates Yext platform, a cloud-based platform that allows its customers to provide answers to consumer questions, to control the facts about their businesses and the content of their landing pages, and to manage their consumer reviews, as well as provides customers to update their information and content through its knowledge network of approximately 200 maps, apps, search engines, intelligent GPS systems, digital assistants, vertical directories, and social networks. The platform enables its customers to centralize, control and manage data fields, including store information, such as name, address, phone number and holiday hours; professional information, comprising of headshot, specialties, and education; job information, consisting of title and description; and FAQs and other information. It serves the healthcare, retail, and financial services industries. The company was incorporated in 2006 and is headquartered in New York, New York.",4.674806044895806
28,"MingZhu Logistics Holdings Limited, through its subsidiaries, provides trucking services in the People's Republic of China. It also provides car-hailing and driver management services, and car owner services. The company serves sizeable third-party logistics companies, freight forwarders, and warehouse operators, as well as other supply chain service providers. MingZhu Logistics Holdings Limited was founded was founded in 2002 and is headquartered in Shenzhen, the People's Republic of China.",6.842384526801091
29,"Yunhong Green CTI Ltd. develops, produces, distributes, and sells consumer products in the United States and internationally. It offers novelty products, including foil balloons; latex balloons under the Partyloons name; and toy balloon products, which include punch balls, water bombs, and balloons twisted into shapes, as well as other inflatable toy items. The company also offers packaging films and custom film products for food, and other commercial and packaging applications; and container products, as well as assembles and sells Candy Blossom product line. It primarily serves various retail outlets, including general merchandise stores, discount and drugstore chains, grocery chains, card and gift shops, party goods stores, and florists and balloon decorators. The company sells its products directly, as well as through a network of distributors and wholesalers, retail chains, and independent sales representatives. The company was formerly known as Yunhong CTI Ltd. and changed its name to Yunhong Green CTI Ltd. in August 2023. Yunhong Green CTI Ltd. was founded in 1983 and is headquartered in Lake Barrington, Illinois.",2.023655575416989
30,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, exchange-traded funds (""ETFs"") that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index consists of the 50 largest and most liquid public Chinese companies currently trading on the Hong Kong Stock Exchange. The fund is non-diversified.",8.45922893368017
31,"Yunji Inc., together with its subsidiaries, operates a social e-commerce platform in the People's Republic of China. It offers a range of product categories that cater various daily needs of users and their households, including beauty and personal care, household goods, cloths, food and fresh produce, computer and electronics, apparel, bags and cases, baby and maternity products, and home appliances. The company was founded in 2015 and is headquartered in Hangzhou, the People's Republic of China.",7.077092648504032
32,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets, plus any borrowings for investment purposes, in below-investment grade (commonly known as ""junk"" or “high yield”) fixed income securities, such as bonds and bank loans. It invests in U.S. treasury bills, bonds, and other obligations issued or guaranteed by the U.S. government or its agencies or instrumentalities, investment grade bank loans (also known as senior floating rate interests), and preferred securities.",2.1185047688460976
33,"Y-mAbs Therapeutics, Inc., a commercial-stage biopharmaceutical company, focuses on the development and commercialization of novel antibody based therapeutic products for the treatment of cancer in the United States. It offers DANYELZA, a monoclonal antibody in combination with granulocyte-macrophage colony-stimulating factor for the treatment of pediatric patients with relapsed or refractory high-risk neuroblastoma. The company is also developing DANYELZA for the treatment of patients with second-line relapsed osteosarcoma and is in Phase II clinical study; GD2-SADA, which is in Phase I clinical trial for the treatment of GD2 positive solid tumor; and Omburtamab, a murine monoclonal antibody which has completed pivotal phase 2 clinical trials for the treatment of central nervous system/ leptomeningeal metastases from neuroblastoma, and Omburtamab 03-133 that is in phase 1 clinical trials for the treatment of intrathecal immunotherapy for CNS/leptomeningeal metastases. In addition, its product pipeline includes huB7-H3 for the treatment of systemic solid tumors. The company has a license agreement with Memorial Sloan Kettering Cancer Center and Massachusetts Institute of Technology to develop and commercialize licensed products. Y-mAbs Therapeutics, Inc. was incorporated in 2015 and is headquartered in New York, New York.",7.534008862025608
34,"Full Truck Alliance Co. Ltd., together with its subsidiaries, operates a digital freight platform that connects shippers with truckers to facilitate shipments across distance ranges, cargo weights, and types in the People's Republic of China. The company offers freight listing, matching, and brokerage services; and online transaction services, as well as various value-added services, such as credit solutions, insurance brokerage, software solutions, electronic toll collection, and energy services. It also provides technology development and other services. The company was founded in 2011 and is based in Guiyang, China.",5.437881022330139
35,"Yoshiharu Global Co. operates Japanese restaurants in California. It offers ramen, sushi rolls, bento boxes, and other Japanese cuisines. The company was founded in 2016 and is based in Buena Park, California.",5.229452199581547
36,"Yotta Acquisition Corporation does not have significant operations. It focuses on effecting a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities. The company intends to focus on high technology, blockchain, software and hardware, ecommerce, social media, and other general business industries worldwide. Yotta Acquisition Corporation was incorporated in 2021 and is based in New York, New York.",1.7166417921876107
37,"Clear Secure, Inc. operates a secure identity platform under the CLEAR brand name primarily in the United States. Its secure identity platform is a multi-layered infrastructure consisting of front-end, including enrollment, verification, and linking. The company also offers CLEAR Plus, a consumer aviation subscription service, which enables access to predictable entry lanes in airport security checkpoints, as well as access to broader network; and CLEAR mobile app, which is used to enroll new members and enhance the experience for existing members. In addition, it provides Reserve powered by CLEAR, a virtual queuing technology that provides users with the choice of how they queue either at home or on the move; and Atlas Certified, an automated solution to verify professional licenses and certification data across industries by communicating with certifying organizations for on-demand, current, and trusted data. The company was founded in 2010 and is headquartered in New York, New York.",3.289101349442543
38,"YPF Sociedad Anónima, an energy company, engages in the oil and gas upstream and downstream activities in Argentina. Its upstream operations include the exploration, exploitation, and production of crude oil, natural gas, and NGLs. The company's downstream operations include the refining, marketing, and distribution of oil and petroleum products, as well as petroleum derivatives, such as petrochemicals, hydrocarbons, non-fossil fuels, biofuels, and related components; and production of hydrocarbons electric power. Its gas and power operations include transportation, commercialization, and distribution of natural gas; operation of regasification terminals; conditioning, processing, and separation of natural gas; and power generation. The company had interests in 116 oil and gas fields; approximately 606 million barrels (mmbbl) of oil; and approximately 2,826 billion cubic feet (bcf) of gas. It also had a retail distribution network of 1,658 YPF-branded service stations; and 17 exploration permits. In addition, the company owns and operates three refineries with combined annual refining capacity of approximately 119.7 mmbbl; approximately 2,800 kilometers of crude oil pipelines with approximately 640,000 barrels of aggregate daily transportation capacity of refined products; and crude oil tankage of approximately 7 mmbbl, as well as maintains terminal facilities at five Argentine ports. Further, it participates in 21 power generation plants with an aggregate installed capacity of 3,091 megawatts; offers diesel, fertilizers, lubricants, phytosanitary products, and ensiling bags; and supplies diesel, gasoline, fuel oil, coal, asphalts, paraffin, and sulfur, CO2, decanted oil, and aromatic extract. The company was founded in 1977 and is headquartered in Buenos Aires, Argentina.",2.783002699348503
39,"17 Education & Technology Group Inc., an education technology company, provides education and education technology services in the People's Republic of China. It also offers other educational products and services, including membership-based educational content subscriptions to à la carte workbooks, study plans, and associated services. In addition, the company offers teaching and learning SaaS solutions, such as education informatization services for education-related government entities, schools, and service providers. 17 Education & Technology Group Inc. was incorporated in 2012 and is headquartered in Beijing, the People's Republic of China.",9.129017334650925
40,"Yiren Digital Ltd., through its subsidiaries, operates as an online consumer finance marketplace that connects borrowers and investors in the People's Republic of China. The company operates through Wealth, Credit, and Other segments. It offers loan facilitation services; and post-origination services, such as cash processing, collection, and SMS services. It also distributes short-term cash management and insurance products. In addition, the company offers consultancy; information technology support; referral; and IT, system maintenance, and customer support services. Further, it involved in the provision of services for financing lease; and insurance brokerage and electronic commerce businesses. The company offers its products through a wealth management website and mobile application. The company was formerly known as Yirendai Ltd. and changed its name to Yiren Digital Ltd. in September 2019. Yiren Digital Ltd. was founded in 2012 and is based in Beijing, the People's Republic of China. Yiren Digital Ltd. is a subsidiary of Creditease Holdings (Cayman) Limited.",6.796872759454244
41,"Yatsen Holding Limited, together with its subsidiaries, engages in the development and sale of beauty products under the Perfect Diary, Little Ondine, Pink Bear, Abby's Choice, GalÃnic, DR.WU, Eve Lom, and EANTiM brands in the People's Republic of China. The company offers color cosmetics for lips, eyes, and face; skin care products, including face serums and creams, eye creams, masks, toners, makeup removers, cleansers, ampoules, and anti-acne patches; and beauty tools and kits, sunscreen products, colored contact lenses, and beauty devices. It sells its products through stores and online channel. The company was formerly known as Mangrove Bay Ecommerce Holding (Cayman) and changed its name to Yatsen Holding Limited in January 2019. Yatsen Holding Limited was founded in 2016 and is headquartered in Guangzhou, China.",8.714008760403594
42,"Yield10 Bioscience, Inc. operates as agricultural bioscience company in the United States. The company primarily focus on production of low carbon products through processing Camelina seeds. Its products include Camelina oil for low carbon biofuel feedstock; Omega-3 oils for nutrition; and PHA bioplastics for biodegradable zero waste packaging solutions. The company was formerly known as Metabolix, Inc. and changed its name to Yield10 Bioscience, Inc. in January 2017. Yield10 Bioscience, Inc. was incorporated in 1992 and is headquartered in Woburn, Massachusetts.",6.466580627314082
43,"Yatra Online, Inc. operates as an online travel company in India and internationally. It operates in Air Ticketing, and Hotels and Packages, and Other Services segments. The company provides travel-related services, including domestic and international air ticketing, hotel bookings, homestays, holiday packages, bus ticketing, rail ticketing, cab bookings, and ancillary services for leisure and business travelers. It also offers various services, including exploring and searching comprises web and mobile platforms that enable customers to explore and search flights, hotels, holiday packages, buses, trains, and activities through its website, www.yatra.com. In addition, the company provides its services through mobile applications that comprise Yatra, a mobile interface; Yatra Web Check-In, an application for flight check-in process for travelers; and Yatra Corporate, a self-booking application for business customers. Further, it offers tours, sightseeing, shows, and event services; rail and cab services, and other ancillary travel services; and sells travel vouchers and coupons. The company was incorporated in 2005 and is based in Gurugram, India.",2.5480833375423932
44,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",3.0150081614028634
45,"Yum China Holdings, Inc. owns, operates, and franchises restaurants in the People's Republic of China. The company operates through KFC, Pizza Hut, and All Other segments. It operates restaurants under the KFC, Pizza Hut, Taco Bell, Lavazza, Little Sheep, and Huang Ji Huang concepts. The company also operates V-Gold Mall, a mobile e-commerce platform, which sells electronics, home and kitchen accessories, and other general merchandise, as well as fried rice, steak, and pasta; and offers online food deliver services. Yum China Holdings, Inc. was incorporated in 2016 and is headquartered in Shanghai, the People's Republic of China.",2.721443286126084
46,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index comprises 50 of the largest and most liquid Chinese stocks (H Shares, Red Chips and P Chips) listed and trading on the Hong Kong Exchange (HKEx). The fund is non-diversified.",1.5408901550253766
47,"The fund will normally invest at least 80% of its net assets in securities of the index. Because the index is comprised of securities issued by other investment companies, the fund operates in a manner that is commonly referred to as a ""fund of funds,"" meaning that it invests its assets in shares of funds that are included in the index. The index seeks to measure the performance of the top 45 U.S. exchange-listed closed-end funds.",3.2346290844513614
48,"Zillow Group, Inc. operates real estate brands on mobile applications and Websites in the United States. The company operates through Internet, Media & Technology (IMT); Mortgages; and Homes segments. Its IMT segment offers premier agent and rentals marketplaces, as well as other services, which includes new construction marketplace, advertising, and business technology solutions, as well as display and dotloop and floor plans. The company's Mortgages segment provides mortgage originations and the sale of mortgages, and advertising to mortgage lenders and other mortgage services. Its Homes segment offers title and escrow services. The company's brand portfolio includes Zillow Premier Agent, Zillow Home Loans, Zillow Closing Services, Zillow Rentals, Trulia, StreetEasy, HotPads, and Out East; and Mortech, a suite of marketing software and technology solutions for the real estate industry, as well as New Home Feed and ShowingTime+, and Bridge Interactive. Zillow Group, Inc. was incorporated in 2004 and is headquartered in Seattle, Washington.",3.2876979425926685
49,"Zapp Electric Vehicles Limited operates an electric motorcycle company. Its i300 is the first in a suite of electric two-wheelers that the company plans to bring to market. It offers a direct-to-customer experience known as DSDTC (drop-ship-direct-to-customer). The company sells its product the i300, to customers online and delivered to the home, as well as provides at-home inspection, service, and support throughout the vehicle ownership lifecycle. The company was incorporated in 2017 and is based in Bangkok, Thailand, with additional office in Paris, France.",2.370197189343818
50,"Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates as a medical technology company in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company designs, manufactures, and markets orthopaedic reconstructive products, such as knee and hip products; S.E.T. products, including sports medicine, biologics, foot and ankle, extremities, and trauma products; craniomaxillofacial and thoracic products comprising face and skull reconstruction products, as well as products that fixate and stabilize the bones of the chest to facilitate healing or reconstruction after open heart surgery, trauma, or for deformities of the chest. It also offers robotic, surgical, and bone cement products. The company's products and solutions are used to treat patients suffering from disorders of, or injuries to, bones, joints, or supporting soft tissues. It serves orthopaedic surgeons, neurosurgeons, hospitals, stocking distributors, healthcare dealers, and other specialists, as well as agents, healthcare purchasing organizations, or buying groups. The company was formerly known as Zimmer Holdings, Inc. and changed its name to Zimmer Biomet Holdings, Inc. in June 2015. Zimmer Biomet Holdings, Inc. was founded in 1927 and is headquartered in Warsaw, Indiana.",2.847468775527448
51,"Zebra Technologies Corporation, together with its subsidiaries, provides enterprise asset intelligence solutions in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Asset Intelligence & Tracking and Enterprise Visibility & Mobility. The company designs, manufactures, and sells printers, which produce labels, wristbands, tickets, receipts, and plastic cards; dye-sublimination thermal card printers, which produce images which are used for personal identification, access control, and financial transactions; RFID printers that encode data into passive RFID transponders; accessories and options for our printers, including vehicle mounts and battery chargers; stock and customized thermal labels, receipts, ribbons, plastic cards, and RFID tags for printers; and temperature-monitoring labels primarily used in vaccine distribution. It also provides various maintenance, technical support, repair, and managed and professional services; real-time location systems and services; and tags, sensors, exciters, middleware software, and application software; as well as physical inventory management solutions, and rugged tablets and enterprise-grade mobile computing products and accessories. In addition, the company offers barcode scanners, RFID readers, industrial machine vision cameras, and fixed industrial scanners, workforce management solutions, workflow execution and task management solutions, and prescriptive analytics solutions, as well as communications and collaboration solutions. It also provides cloud-based software subscriptions and robotics automation solutions. The company serves retail and e-commerce, manufacturing, transportation and logistics, healthcare, public sector, and other industries through direct sales force, and network of channel partners. The company was founded in 1969 and is headquartered in Lincolnshire, Illinois.",2.7145962037093825
